- - -
DATAFLOW SUMMARY
- - -
Name: ComingSoonsTmdb
Run ID: 533
Attempt: 1
Result: SUCCESS
Started (UTC): 2026-07-12T01:34:05.211514+00:00
Finished (UTC): 2026-07-12T01:34:23.912122+00:00
Duration Seconds: 18.7006
Generated At (UTC): 2026-07-12T01:34:23.912257+00:00

SUMMARY COUNTS
- dropped: 14
- mapped: 5
- merged: 1
- skipped: 167

STAGE BREAKDOWN
- dedupe|merged|deduped_into_tmdb: 1
- enrich|mapped|enriched: 1
- row_filter|skipped|already_added: 147
- row_filter|skipped|past_release_date: 20
- tmdb_choice|mapped|title_first_match: 2
- tmdb_search|dropped|no_candidates: 14
- write|mapped|marked_added: 1
- [skipped] row_filter | title=the odyssey | key=637d152c-7b9c-4bc3-9d44-ea2624a88318 | reason=already_added | tmdb=
- [skipped] row_filter | title=the social reckoning | key=d71b2f0d-697a-476e-92ba-9b3952ef0a03 | reason=already_added | tmdb=
- [skipped] row_filter | title=the taste | key=1c2b5a02-553c-4bf3-83ad-d711bc701b12 | reason=already_added | tmdb=
- [skipped] row_filter | title=the tasters | key=01c650fa-b400-4643-8101-345b8874a64e | reason=already_added | tmdb=
- [skipped] row_filter | title=the ties that bind us | key=af28b788-fcfe-4072-be2e-c1470dac66ef | reason=already_added | tmdb=
- [skipped] row_filter | title=three men and vilma | key=c931509b-7319-4336-9992-f3ef007f6d59 | reason=already_added | tmdb=
- [skipped] row_filter | title=three wishes for cinderella | key=e91b6595-9b6f-4878-ac9a-bbce8766b73c | reason=already_added | tmdb=
- [skipped] row_filter | title=toy story 5 | key=0432f0f9-dd06-4183-b8dd-5375f582bbbc | reason=already_added | tmdb= x3
- [skipped] row_filter | title=tuner | key=070e4f91-290f-41a1-848d-fbf62ae26453 | reason=already_added | tmdb=
- [skipped] row_filter | title=valley of shadows | key=1e5a37aa-5dfb-4fd8-b7f2-653d994e9643 | reason=already_added | tmdb=
- [skipped] row_filter | title=verity | key=db78f59b-6e49-4084-961b-e4ee4fa909b3 | reason=already_added | tmdb=
- [skipped] row_filter | title=welcome to the jungle | key=763c7bed-3ef9-4b82-a158-06b411a09ba9 | reason=already_added | tmdb=
- [skipped] row_filter | title=werwulf | key=43fb9a40-a451-44a0-b50b-276598cd3a80 | reason=already_added | tmdb=
- [skipped] row_filter | title=whalefall | key=67689e20-2482-4873-bb02-cf70b47f0603 | reason=already_added | tmdb=
- [skipped] row_filter | title=wham 10 days in china | key=7868e35d-2169-4fee-a2cb-ccca1629b6b0 | reason=already_added | tmdb=
- [skipped] row_filter | title=what is love | key=8d6320c4-7d1d-4102-b318-7819c04f3d79 | reason=already_added | tmdb=
- [skipped] row_filter | title=what marielle knows | key=241631ed-049d-4770-b2d0-6314246ebb06 | reason=already_added | tmdb=
- [skipped] row_filter | title=wild horse nine | key=8c87b8b7-9c2d-4bb2-9b27-03a6ae1eab7b | reason=already_added | tmdb=
- [skipped] row_filter | title=wonder | key=a718236b-d7f3-4cb4-b7c9-5ceedb012761 | reason=already_added | tmdb=
- [skipped] row_filter | title=worldcup2026 | key=1b434712-2296-47ac-8b15-97982bc254d2 | reason=past_release_date | tmdb=
- [skipped] row_filter | title=youthful grace | key=f3176d46-8a5f-4d8a-98d8-9718435c76de | reason=already_added | tmdb=

NOW PLAYING GROUP DETAILS
- (none)

UNRESOLVED / DROPPED ITEMS
- past_release_date | planet eng cro | row_id=008084b9-4e09-4d34-b1d8-3a0cb83abb13
- past_release_date | worldcup2026 | row_id=1b434712-2296-47ac-8b15-97982bc254d2
- past_release_date | movieretro | row_id=2223e8d1-b4b7-4a62-a2c3-e39038e1ba7d
- no_candidates | superman 1978 | row_id=231e3973-3899-4c3f-aa8a-66fc83328a1d
- past_release_date | kupa rashit traduis en francais | row_id=2ec6f810-b744-4715-9010-5f24cf3116ba
- past_release_date | 2planet quoter | row_id=350a0d73-3028-411d-a59d-6347be8cecc3
- no_candidates | movieretro | row_id=373d9cae-bfa4-46eb-907b-e1f6bb7dd1b0
- no_candidates | seestarz | row_id=394cdd3e-271e-41b4-832f-9f51f9f7b6d9
- past_release_date | american hina | row_id=43e0d8a4-909c-4c85-8203-82d12acd7930
- past_release_date | kupa rashit | row_id=47e83a09-c55d-48cb-93f2-42b28ee3d80a
- past_release_date | minions monsters english | row_id=4a713281-1a3a-463e-9978-2fdfabf11341
- no_candidates | movieretro | row_id=4c527d85-1d9b-4856-b5c4-63f74a033c12
- past_release_date | movieretro | row_id=5316545c-a8a1-406b-9a9c-cf320c6775af
- past_release_date | moana live action vos seances en francais du film | row_id=5d377ffc-ccc3-4bf1-a24d-4e5d1e5a08fc
- no_candidates | its family fing business il | row_id=5da00fae-1a80-4f22-a45c-23fd11e52bb4
- past_release_date | for the love of a woman | row_id=62fbaf18-4d07-444a-852e-c036f290f1bb
- past_release_date | kupa rashit | row_id=7083dfca-4103-4aa3-b3d0-e51e3f68a4cd
- no_candidates | the magical faraway tree | row_id=7da21ce7-f82d-4281-b2ac-6cce4e5a411a
- no_candidates | planet semi final | row_id=85293827-cae8-4d2a-9429-7cd43f5777e5
- no_candidates | movieretro | row_id=8999a56d-e2c7-4823-878f-2b15674ef13b
- no_candidates | spider man brand new day vos seances en francais du film | row_id=8ec9ac3b-12f3-4d2a-9fad-46544076a6e1
- past_release_date | surprise screening | row_id=966a87c3-56ab-4da4-a806-b9f77b8884a7
- no_candidates | in the hell of kabul 13 days 13 nights | row_id=99049a3c-cd7c-4834-9024-1702d0bfd2e1
- no_candidates | investment generation | row_id=9a3b4d18-dc65-45dc-9ef0-f1d1d19a8e82
- past_release_date | makolet | row_id=9b0ea295-0aff-4b04-b5f8-9b25a76acf79
- no_candidates | planetshoetime naama | row_id=ab971b20-10ac-43a3-abdd-1ff786b50205
- no_candidates | 2planet semi | row_id=b5d14548-584e-45ef-bc94-044b473510b0
- past_release_date |  | row_id=b90764d8-4809-44ba-9b7e-af5fa473c3c5
- past_release_date | kupa rashit | row_id=bb023f41-25aa-46fa-921b-e812274f2b72
- no_candidates | superman 2 the richard donner cut 1980 | row_id=cb9a462f-3d36-4561-bc20-a022c4ad842c
- past_release_date | planet nor fra | row_id=d193a034-b2e7-4603-9fb1-0b02832df2b4
- past_release_date | 2026 | row_id=dcb43af6-24c4-4490-8fa1-65aa518c3d4e
- past_release_date | 2 | row_id=f03e0e91-7d79-482b-a726-21b22c79e143
- past_release_date | the get out aka bear country | row_id=fbe90974-512c-4528-ae29-aafb3832a70a

WRITE/DEDUPE ACTIONS
- dedupeAllSoons(allSoons)
- dedupeFinalSoons(finalSoons)
- upsertUpdates(finalSoons) rows=1
- mark_added(allSoons) rows=1
- dedupeFinalSoons(finalSoons)

NOTES
- (none)
