- - -
DATAFLOW SUMMARY
- - -
Name: CinemathequesTmdb
Run ID: 589
Attempt: 1
Result: SUCCESS
Started (UTC): 2026-08-04T01:48:37.263263+00:00
Finished (UTC): 2026-08-04T02:00:24.430569+00:00
Duration Seconds: 707.1673
Generated At (UTC): 2026-08-04T02:00:24.430746+00:00

SUMMARY COUNTS
- dropped: 15
- mapped: 238
- merged: 226

STAGE BREAKDOWN
- dedupe|merged|deduped_into_tmdb: 226
- group_filter|dropped|skip_token: 1
- tmdb_choice|mapped|director_match: 10
- tmdb_choice|mapped|fallback_first_candidate: 21
- tmdb_choice|mapped|runtime_match: 4
- tmdb_choice|mapped|title_first_match: 184
- tmdb_choice|mapped|tmdb_fix_id_match: 5
- tmdb_choice|mapped|tmdb_fix_override: 3
- tmdb_search|dropped|no_candidates: 14
- write|mapped|marked_added: 5
- write|mapped|upserted: 6

COMING SOONS DETAILS
- (none)

CINEMATHEQUE GROUP DETAILS
- key=in pigeons blood | status=mapped | reason=title_first_match | rep_title=in pigeons blood | rows=3 | parsed_year=2025 | candidates=1 | chosen_tmdb=1496035 | path=title_first_match
- key=grace | status=mapped | reason=fallback_first_candidate | rep_title=grace | rows=2 | parsed_year=2025 | candidates=24 | chosen_tmdb=1493871 | path=fallback_first_candidate
- key=searching for haifa the story of shimon holly | status=mapped | reason=fallback_first_candidate | rep_title=searching for haifa the story of shimon holly | rows=5 | parsed_year=2026 | candidates=1 | chosen_tmdb=1685116 | path=fallback_first_candidate
- key=stand by me | status=mapped | reason=title_first_match | rep_title=stand by me | rows=2 | parsed_year=1986 | candidates=20 | chosen_tmdb=235 | path=title_first_match
- key=midsommar | status=mapped | reason=title_first_match | rep_title=midsommar | rows=1 | parsed_year=2019 | candidates=20 | chosen_tmdb=530385 | path=title_first_match
- key=ulysses gaze | status=mapped | reason=title_first_match | rep_title=ulysses gaze | rows=1 | parsed_year=1995 | candidates=1 | chosen_tmdb=22549 | path=title_first_match
- key=call me by your name | status=mapped | reason=title_first_match | rep_title=call me by your name | rows=1 | parsed_year=2017 | candidates=1 | chosen_tmdb=398818 | path=title_first_match
- key=en el cuarto de nico | status=dropped | reason=no_candidates | rep_title=en el cuarto de nico | rows=3 | parsed_year=2025 | candidates=0 | chosen_tmdb= | path=
- key=read the room | status=mapped | reason=title_first_match | rep_title=read the room | rows=2 | parsed_year= | candidates=2 | chosen_tmdb=1708373 | path=title_first_match
- key=comicsans 2 16 2026 | status=dropped | reason=no_candidates | rep_title=comicsans 2 16 2026 | rows=1 | parsed_year= | candidates=0 | chosen_tmdb= | path=
