- - -
DATAFLOW SUMMARY
- - -
Name: NowPlayingsTmdb
Run ID: 513
Attempt: 1
Result: SUCCESS
Started (UTC): 2026-07-04T01:40:53.982076+00:00
Finished (UTC): 2026-07-04T01:45:54.276358+00:00
Duration Seconds: 300.2943
Generated At (UTC): 2026-07-04T01:45:54.276631+00:00

SUMMARY COUNTS
- dropped: 9
- mapped: 67
- merged: 51

STAGE BREAKDOWN
- dedupe|merged|deduped_into_tmdb: 51
- tmdb_choice|mapped|director_match: 7
- tmdb_choice|mapped|fallback_first_candidate: 5
- tmdb_choice|mapped|runtime_match: 3
- tmdb_choice|mapped|title_first_match: 36
- tmdb_choice|mapped|tmdb_fix_id_match: 2
- tmdb_choice|mapped|tmdb_fix_override: 3
- tmdb_search|dropped|no_candidates: 9
- write|mapped|marked_added: 5
- write|mapped|upserted: 6

COMING SOONS DETAILS
- (none)

NOW PLAYING GROUP DETAILS
- key=Rav Hen | status=mapped | reason=upserted | rep_title= | rows=464 | parsed_year= | candidates=0 | chosen_tmdb= | path=publish_by_cinema
- key=Rav Hen | status=mapped | reason=marked_added | rep_title= | rows=559 | parsed_year= | candidates=0 | chosen_tmdb= | path=publish_by_cinema
- key=finalMovies | status=mapped | reason=upserted | rep_title= | rows=51 | parsed_year= | candidates=0 | chosen_tmdb= | path=final_movies

UNRESOLVED / DROPPED ITEMS
- no_candidates | group=kupa rashit | title=kupa rashit
- no_candidates | group=minions monsters english | title=minions monsters english
- no_candidates | group=bear clow camp | title=bear clow camp
- no_candidates | group=get out aka bear country | title=the get out aka bear country
- no_candidates | group=animel farm | title=animel farm
- no_candidates | group=2planet semi | title=2planet semi
- no_candidates | group=planet semi final | title=planet semi final
- no_candidates | group=planet bra nor | title=planet bra nor
- no_candidates | group=movieretro | title=movieretro

WRITE/DEDUPE ACTIONS
- dedupeFinalShowtimes(finalShowtimes)
- dedupeFinalMovies(finalMovies)
- upsertUpdates(finalShowtimes) cinema=Lev Cinema rows=264
- mark_added(allShowtimes) cinema=Lev Cinema rows=405
- delete_stale(finalShowtimes) cinema=Lev Cinema rows=320
- upsertUpdates(finalShowtimes) cinema=Yes Planet rows=2319
- mark_added(allShowtimes) cinema=Yes Planet rows=3744
- delete_stale(finalShowtimes) cinema=Yes Planet rows=2809
- upsertUpdates(finalShowtimes) cinema=Cinema City rows=2021
- mark_added(allShowtimes) cinema=Cinema City rows=3382
- delete_stale(finalShowtimes) cinema=Cinema City rows=2325
- upsertUpdates(finalShowtimes) cinema=MovieLand rows=650
- mark_added(allShowtimes) cinema=MovieLand rows=1179
- delete_stale(finalShowtimes) cinema=MovieLand rows=782
- upsertUpdates(finalShowtimes) cinema=Rav Hen rows=464
- mark_added(allShowtimes) cinema=Rav Hen rows=559
- delete_stale(finalShowtimes) cinema=Rav Hen rows=540
- dedupeFinalShowtimes(finalShowtimes)
- upsertUpdates(finalMovies) rows=51
- dedupeFinalMovies(finalMovies)

NOTES
- (none)
