- - -
DATAFLOW SUMMARY
- - -
Name: NowPlayingsTmdb
Run ID: 489
Attempt: 1
Result: SUCCESS
Started (UTC): 2026-06-15T01:29:58.112231+00:00
Finished (UTC): 2026-06-15T01:36:23.964649+00:00
Duration Seconds: 385.8524
Generated At (UTC): 2026-06-15T01:36:23.964918+00:00

SUMMARY COUNTS
- dropped: 13
- mapped: 100
- merged: 78

STAGE BREAKDOWN
- dedupe|merged|deduped_into_tmdb: 78
- group_filter|dropped|skip_token: 1
- tmdb_choice|mapped|director_match: 2
- tmdb_choice|mapped|fallback_first_candidate: 10
- tmdb_choice|mapped|runtime_match: 8
- tmdb_choice|mapped|title_first_match: 60
- tmdb_choice|mapped|tmdb_fix_id_match: 3
- tmdb_choice|mapped|tmdb_fix_override: 4
- tmdb_search|dropped|no_candidates: 12
- write|mapped|marked_added: 6
- write|mapped|upserted: 7

COMING SOONS DETAILS
- (none)

NOW PLAYING GROUP DETAILS
- key=freuds last session | status=merged | reason=deduped_into_tmdb | rep_title= | rows=4 | parsed_year= | candidates=0 | chosen_tmdb=1025491 | path=deduped_into_tmdb
- key=sheep detectives | status=merged | reason=deduped_into_tmdb | rep_title= | rows=50 | parsed_year= | candidates=0 | chosen_tmdb=1301421 | path=deduped_into_tmdb
- key=kidnapped | status=merged | reason=deduped_into_tmdb | rep_title= | rows=9 | parsed_year= | candidates=0 | chosen_tmdb=801112 | path=deduped_into_tmdb
- key=normal | status=merged | reason=deduped_into_tmdb | rep_title= | rows=2 | parsed_year= | candidates=0 | chosen_tmdb=1242332 | path=deduped_into_tmdb
- key=subservience | status=merged | reason=deduped_into_tmdb | rep_title= | rows=1 | parsed_year= | candidates=0 | chosen_tmdb=1064028 | path=deduped_into_tmdb
- key=david | status=merged | reason=deduped_into_tmdb | rep_title= | rows=11 | parsed_year= | candidates=0 | chosen_tmdb=1649887 | path=deduped_into_tmdb
- key=two women | status=merged | reason=deduped_into_tmdb | rep_title= | rows=4 | parsed_year= | candidates=0 | chosen_tmdb=1073588 | path=deduped_into_tmdb
- key=late shift | status=merged | reason=deduped_into_tmdb | rep_title= | rows=12 | parsed_year= | candidates=0 | chosen_tmdb=1356670 | path=deduped_into_tmdb
- key=marianas room | status=merged | reason=deduped_into_tmdb | rep_title= | rows=25 | parsed_year= | candidates=0 | chosen_tmdb=1000828 | path=deduped_into_tmdb
- key=choral | status=merged | reason=deduped_into_tmdb | rep_title= | rows=22 | parsed_year= | candidates=0 | chosen_tmdb=1262815 | path=deduped_into_tmdb
- key=shelter | status=merged | reason=deduped_into_tmdb | rep_title= | rows=2 | parsed_year= | candidates=0 | chosen_tmdb=1290821 | path=deduped_into_tmdb
- key=four letters of love | status=merged | reason=deduped_into_tmdb | rep_title= | rows=18 | parsed_year= | candidates=0 | chosen_tmdb=1293244 | path=deduped_into_tmdb
- key=masters of the universe | status=merged | reason=deduped_into_tmdb | rep_title= | rows=125 | parsed_year= | candidates=0 | chosen_tmdb=454639 | path=deduped_into_tmdb
- key=passenger | status=merged | reason=deduped_into_tmdb | rep_title= | rows=17 | parsed_year= | candidates=0 | chosen_tmdb=1368314 | path=deduped_into_tmdb
- key=my friend eva | status=merged | reason=deduped_into_tmdb | rep_title= | rows=12 | parsed_year= | candidates=0 | chosen_tmdb=1297953 | path=deduped_into_tmdb
