- - -
DATAFLOW SUMMARY
- - -
Name: ComingSoonsTmdb
Run ID: 622
Attempt: 1
Result: SUCCESS
Started (UTC): 2026-09-04T11:27:34.272481+00:00
Finished (UTC): 2026-09-04T11:29:12.292232+00:00
Duration Seconds: 98.0198
Generated At (UTC): 2026-09-04T11:29:12.292311+00:00

SUMMARY COUNTS
- dropped: 11
- mapped: 70
- merged: 22
- skipped: 143

STAGE BREAKDOWN
- dedupe|merged|deduped_into_tmdb: 22
- enrich|mapped|enriched: 22
- row_filter|skipped|already_added: 134
- row_filter|skipped|past_release_date: 7
- row_filter|skipped|skip_token: 2
- tmdb_choice|mapped|fallback_first_candidate: 18
- tmdb_choice|mapped|runtime_match: 6
- tmdb_choice|mapped|title_first_match: 22
- tmdb_search|dropped|no_candidates: 11
- write|mapped|marked_added: 1
- write|mapped|upserted: 1

- [mapped] tmdb_choice | title=the christophers | key=75c6fb4c-0d90-413f-9479-f920fedcc31a | reason=fallback_first_candidate | tmdb=1400357 x2
- [skipped] row_filter | title=the croods | key=93f5f63e-31d8-4cd4-9f95-e27c12d87043 | reason=already_added | tmdb=
- [skipped] row_filter | title=the desert child | key=bd05775c-fc38-48c9-9782-48877c730166 | reason=already_added | tmdb=
- [skipped] row_filter | title=the dog stars | key=96c8a34f-e44d-4067-a79d-0f5ef2d418a2 | reason=already_added | tmdb=
- [dropped] tmdb_search | title=the fast and the furious 25th anniversary | key=25adabec-a9b9-45ea-9df8-314d47e6a80f | reason=no_candidates | tmdb=
- [skipped] row_filter | title=the hunger games sunrise on the reaping | key=298f9b59-21df-4a3a-9891-e26e96c7b3aa | reason=already_added | tmdb=
- [skipped] row_filter | title=the invite | key=3c2ee9da-6037-490c-8520-12e6baea79a3 | reason=already_added | tmdb=
- [skipped] row_filter | title=the luckiest man in america | key=2241d600-deaf-4134-918d-726016276303 | reason=already_added | tmdb=
- [skipped] row_filter | title=the money maker | key=714a0ccb-b303-41b4-a9ca-73f4a820fbc1 | reason=already_added | tmdb=
- [skipped] row_filter | title=the mongoose | key=0a108a20-8164-420d-b61e-5cc8eea914ad | reason=already_added | tmdb=
- [skipped] row_filter | title=The Odyssey | key=78d27242-59b6-4029-8aa8-ff36789f19b7 | reason=already_added | tmdb=
- [skipped] row_filter | title=the pout pout fish | key=edec078f-b211-440d-9414-268c46206844 | reason=already_added | tmdb=
