- - -
DATAFLOW SUMMARY
- - -
Name: ComingSoonsTmdb
Run ID: 572
Attempt: 1
Result: SUCCESS
Started (UTC): 2026-07-24T01:50:14.205296+00:00
Finished (UTC): 2026-07-24T01:50:35.128761+00:00
Duration Seconds: 20.9235
Generated At (UTC): 2026-07-24T01:50:35.130525+00:00

SUMMARY COUNTS
- dropped: 12
- mapped: 8
- merged: 2
- skipped: 164

STAGE BREAKDOWN
- dedupe|merged|deduped_into_tmdb: 2
- enrich|mapped|enriched: 2
- row_filter|skipped|already_added: 111
- row_filter|skipped|past_release_date: 52
- row_filter|skipped|skip_token: 1
- tmdb_choice|mapped|title_first_match: 4
- tmdb_search|dropped|no_candidates: 12
- write|mapped|marked_added: 1
- [skipped] row_filter | title=wild horse nine | key=8c87b8b7-9c2d-4bb2-9b27-03a6ae1eab7b | reason=already_added | tmdb=
- [skipped] row_filter | title=wonder | key=a718236b-d7f3-4cb4-b7c9-5ceedb012761 | reason=past_release_date | tmdb=
- [skipped] row_filter | title=youthful grace | key=f3176d46-8a5f-4d8a-98d8-9718435c76de | reason=past_release_date | tmdb=

NOW PLAYING GROUP DETAILS
- (none)

UNRESOLVED / DROPPED ITEMS
- past_release_date | minions monsters | row_id=030862ba-46bd-4f78-bd2a-846750e9edc4
- past_release_date | tuner | row_id=070e4f91-290f-41a1-848d-fbf62ae26453
- past_release_date | the invite | row_id=090ac76b-36c3-4bf4-a6d4-2353e1153426
- no_candidates | its family fing business il | row_id=13f9969f-1a03-40e1-9a87-997cd92db8d7
- no_candidates | movieretro | row_id=19e7ab85-887f-496b-9f4c-887629ce3a69
- past_release_date | movieretro | row_id=2223e8d1-b4b7-4a62-a2c3-e39038e1ba7d
- past_release_date | kupa rashit traduis en francais | row_id=2ec6f810-b744-4715-9010-5f24cf3116ba
- past_release_date | et the extra terrestrial | row_id=3357bfec-66b9-465f-a731-c4812f6b233c
- past_release_date | the get out | row_id=339195da-39ab-4f18-a157-ef5a6dbb865c
- past_release_date | 2planet quoter | row_id=350a0d73-3028-411d-a59d-6347be8cecc3
- past_release_date | power ballad | row_id=39432ffd-b720-4bad-91de-9a4a0b3512f2
- past_release_date | the fifth element | row_id=3bda2bd3-8ead-4c6f-8df3-c47493b7922c
- past_release_date | the invite | row_id=3de8e610-a9ab-4dc4-b3ee-d4baf4af5242
- past_release_date | rental family | row_id=40df60f9-2ee7-4a6a-993d-882965cc35c8
- past_release_date | rental family | row_id=49bc783e-2b9e-4565-ab60-1a9083d3ca91
- past_release_date | minions monsters english | row_id=4a713281-1a3a-463e-9978-2fdfabf11341
- past_release_date | the invite | row_id=51a52a5d-3d1f-4391-8ecd-cd108a3601ee
- past_release_date | shalom | row_id=52783b15-9b1d-49eb-a354-5d537b2a20ec
- no_candidates | the magical faraway tree | row_id=566f9ecd-928c-45b6-8fc9-a86898f3332a
- past_release_date | colours of time | row_id=587b0edc-a84b-412f-99ff-ac1a11df7f36
- past_release_date | moana live action vos seances en francais du film | row_id=5d377ffc-ccc3-4bf1-a24d-4e5d1e5a08fc
- past_release_date | jackass best and last | row_id=608dd858-1bc5-4a37-acd6-5039bb0df63b
- past_release_date | planet final | row_id=62ead1b3-889a-43f2-b53d-cd340fa55f7c
- past_release_date | for the love of a woman | row_id=62fbaf18-4d07-444a-852e-c036f290f1bb
- past_release_date | i swear | row_id=6b2fa965-a7b4-43b5-940c-584b6d467ab7
- past_release_date | drivers ed | row_id=71de005d-1d1f-4b16-b21c-dc365f1c3d14
- past_release_date | welcome to the jungle | row_id=763c7bed-3ef9-4b82-a158-06b411a09ba9
- past_release_date | moana | row_id=78edb321-ced0-4ba8-b4bc-c82966e56455
- past_release_date | movieretro | row_id=790a202f-3d23-4d13-ab07-f6972aff0ee3
- no_candidates | spider man brand new day vos seances en francais du film | row_id=7c774781-9dd4-430e-926b-543a79398d6f
- past_release_date | evil dead burn | row_id=7d4a1661-12c0-4fa7-94ae-e6bde26f33e2
- past_release_date | the invite | row_id=7e2ed466-9a7f-457c-90e0-a129cce01a9a
- past_release_date | moana live action | row_id=7e582958-f8b3-4f08-824d-4ecf7c2fc3e1
- past_release_date | planet semi final | row_id=85293827-cae8-4d2a-9429-7cd43f5777e5
