- - -
DATAFLOW SUMMARY
- - -
Name: NowPlayingsTmdb
Run ID: 625
Attempt: 1
Result: SUCCESS
Started (UTC): 2026-09-16T15:48:24.954376+00:00
Finished (UTC): 2026-09-16T15:56:53.460693+00:00
Duration Seconds: 508.5063
Generated At (UTC): 2026-09-16T15:56:53.460858+00:00

SUMMARY COUNTS
- dropped: 20
- mapped: 158
- merged: 137

STAGE BREAKDOWN
- dedupe|merged|deduped_into_tmdb: 137
- group_filter|dropped|skip_token: 5
- tmdb_choice|mapped|alias_remap: 1
- tmdb_choice|mapped|fallback_first_candidate: 26
- tmdb_choice|mapped|runtime_match: 8
- tmdb_choice|mapped|title_first_match: 93
- tmdb_choice|mapped|tmdb_fix_id_match: 9
- tmdb_choice|mapped|tmdb_fix_override: 13
- tmdb_search|dropped|no_candidates: 15
- write|mapped|marked_added: 3
- write|mapped|upserted: 5

COMING SOONS DETAILS
- (none)

CINEMATHEQUE GROUP DETAILS
- (none)

NOW PLAYING GROUP DETAILS
- key=edward scissorhands | status=mapped | reason=title_first_match | rep_title=edward scissorhands | rows=1 | parsed_year= | candidates=3 | chosen_tmdb=162 | path=title_first_match
- key=magshimim | status=mapped | reason=fallback_first_candidate | rep_title=magshimim | rows=1 | parsed_year= | candidates=1 | chosen_tmdb=1569872 | path=fallback_first_candidate
- key=moana | status=mapped | reason=tmdb_fix_id_match | rep_title=moana | rows=1 | parsed_year= | candidates=20 | chosen_tmdb=1108427 | path=tmdb_fix_id_match
- key=pretty woman | status=mapped | reason=title_first_match | rep_title=pretty woman | rows=1 | parsed_year= | candidates=12 | chosen_tmdb=114 | path=title_first_match
- key=et the extra terrestrial | status=mapped | reason=title_first_match | rep_title=et the extra terrestrial | rows=1 | parsed_year= | candidates=8 | chosen_tmdb=601 | path=title_first_match
- key=lion king | status=mapped | reason=title_first_match | rep_title=the lion king | rows=1 | parsed_year= | candidates=20 | chosen_tmdb=8587 | path=title_first_match
- key=passenger | status=mapped | reason=title_first_match | rep_title=passenger | rows=1 | parsed_year= | candidates=20 | chosen_tmdb=1368314 | path=title_first_match
- key=great lillian hall | status=mapped | reason=title_first_match | rep_title=the great lillian hall | rows=1 | parsed_year= | candidates=1 | chosen_tmdb=800513 | path=title_first_match
- key=mandalorian grogu | status=mapped | reason=fallback_first_candidate | rep_title=the mandalorian grogu | rows=1 | parsed_year= | candidates=2 | chosen_tmdb=1228710 | path=fallback_first_candidate
- key=no signal | status=mapped | reason=title_first_match | rep_title=no signal | rows=1 | parsed_year= | candidates=20 | chosen_tmdb=1433893 | path=title_first_match
- key=ilanot | status=mapped | reason=title_first_match | rep_title=ilanot | rows=1 | parsed_year= | candidates=1 | chosen_tmdb=1663161 | path=title_first_match
- key=walle | status=mapped | reason=fallback_first_candidate | rep_title=walle | rows=1 | parsed_year= | candidates=20 | chosen_tmdb=80849 | path=fallback_first_candidate
- key=tmdb_fix:1315772 | status=mapped | reason=tmdb_fix_override | rep_title=minions monsters english | rows=1 | parsed_year= | candidates=0 | chosen_tmdb=1315772 | path=tmdb_fix_override
- key=bear clow camp | status=dropped | reason=no_candidates | rep_title=bear clow camp | rows=2 | parsed_year= | candidates=0 | chosen_tmdb= | path=
- key=des minions et des monstres | status=mapped | reason=tmdb_fix_id_match | rep_title=des minions et des monstres | rows=1 | parsed_year= | candidates=1 | chosen_tmdb=1315772 | path=tmdb_fix_id_match
- key=planet semi final | status=dropped | reason=skip_token | rep_title= | rows=1 | parsed_year= | candidates=0 | chosen_tmdb= | path=
- key=youthful grace | status=mapped | reason=title_first_match | rep_title=youthful grace | rows=1 | parsed_year= | candidates=1 | chosen_tmdb=1319168 | path=title_first_match
- key=planet spa bel | status=dropped | reason=no_candidates | rep_title=planet spa bel | rows=1 | parsed_year= | candidates=0 | chosen_tmdb= | path=
- key=tangled | status=mapped | reason=title_first_match | rep_title=tangled | rows=1 | parsed_year= | candidates=20 | chosen_tmdb=38757 | path=title_first_match
- key=goat | status=mapped | reason=title_first_match | rep_title=goat | rows=1 | parsed_year= | candidates=20 | chosen_tmdb=1297842 | path=title_first_match
- key=backrooms | status=mapped | reason=title_first_match | rep_title=backrooms | rows=1 | parsed_year= | candidates=10 | chosen_tmdb=1083381 | path=title_first_match
- key=tmdb_fix:1924 | status=mapped | reason=tmdb_fix_override | rep_title=superman 1978 | rows=1 | parsed_year= | candidates=0 | chosen_tmdb=1924 | path=tmdb_fix_override
- key=2planet semi | status=dropped | reason=skip_token | rep_title= | rows=1 | parsed_year= | candidates=0 | chosen_tmdb= | path=
- key=batman | status=mapped | reason=fallback_first_candidate | rep_title=batman | rows=1 | parsed_year= | candidates=20 | chosen_tmdb=414906 | path=fallback_first_candidate
